rank,team,conference,jkbPower,jkbOffense,jkbDefense,sosPlayedRating,sosPlayedRank,sosRemainingRating,sosRemainingRank,rawPower,rawOffense,rawDefense,games,priorPerformanceSource,sourceClassification,transitionShrinkageApplied,transitionPriorPerformanceWeight,rawYppOffense,rawYppDefenseAllowed,adjustedYppOffense,adjustedYppDefenseAllowed,rawPointsPerPlayOffense,rawPointsPerPlayDefenseAllowed,adjustedPointsPerPlayOffense,adjustedPointsPerPlayDefenseAllowed,standardizedYppOffense,standardizedYppDefense,standardizedPointsPerPlayOffense,standardizedPointsPerPlayDefense,returningProduction,standardizedReturningProduction,sosProvenance
43,Memphis,american,80.6159420289855,79.33333333333333,75.91304347826087,,,62.65942028985507,84,0.32720430764377406,0.3608095470148821,0.293599068272666,12,prior-fbs-opponent-adjusted,fbs,false,,6.0015062148688125,5.518120162017976,5.95644338047662,5.483352709396984,0.4650758728489976,0.364537886652516,0.4586235062823111,0.3632636890589178,0.4366700767319485,0.24464395776242767,0.689817891397968,0.34255417878290434,5.6000000000000005,-1.4611003864358028,complete-current-cfbd-schedule
44,Cincinnati,big-12,80.18840579710145,89.16666666666667,66.93478260869566,,,81.47101449275362,41,0.31782535656509775,0.7548686144345254,-0.11921790130432981,12,prior-fbs-opponent-adjusted,fbs,false,,6.565024236940638,5.923663280399206,6.583496470884219,5.8847747736659075,0.4520019548750472,0.3888055216140449,0.4554169192882183,0.3837110090251351,1.3233346435741633,-0.35130730197712245,0.655760932706052,0.11287149936846283,8.3,-1.3572439489157153,complete-current-cfbd-schedule
45,East Carolina,american,79.76086956521739,68.21739130434783,84.8913043478261,,,51.11594202898551,111,0.3141939759982365,-0.04487699757843398,0.673264949574907,12,prior-fbs-opponent-adjusted,fbs,false,,5.7576769104198915,5.354619959492626,5.744977266392057,5.370631252975415,0.39696476228807986,0.3128819830434813,0.3954566193260162,0.3105626479307771,0.1376531141894048,0.4119902496919795,0.01892635976929873,0.9345396494578345,13.600000000000001,-1.1533776085985057,complete-current-cfbd-schedule
46,UConn,independents,79.33333333333333,89.59420289855072,64.36956521739131,,,46.41304347826087,123,0.3034328693815593,0.8155660467295422,-0.20870030796642366,12,prior-fbs-opponent-adjusted,fbs,false,,6.5496356097430874,5.882766210434942,6.4333859619563185,5.944824548406916,0.5088971123342011,0.3846035057228794,0.4929304947454497,0.39170671062718493,1.1110756316769335,-0.4404572070007927,1.0541902571206465,0.023056591067945394,2.3,-1.588036032293688,complete-current-cfbd-schedule
47,Fresno State,pac-12,78.90579710144928,57.528985507246375,89.59420289855072,,,67.36231884057972,74,0.29332477994418343,-0.4298678117802227,1.0165173716685896,12,prior-fbs-opponent-adjusted,fbs,false,,5.253373957157209,4.785351284333911,5.234066877461641,4.800202932369384,0.3634212021458956,0.3198140728004242,0.36304606084563357,0.3248379592904803,-0.584783543289966,1.258848224166796,-0.3253041424381176,0.7741865191703831,38.3,-0.2032835320258512,provisional-pac-12-week-13-flex-unassigned
48,TCU,big-12,78.47826086956522,78.47826086956522,74.63043478260869,,,81.89855072463769,40,0.2746655038544748,0.31863832780423085,0.23069267990471876,12,prior-fbs-opponent-adjusted,fbs,false,,5.951471226636535,5.54445611116456,5.9835675145098515,5.49323947588885,0.4262065834053479,0.37837987263229417,0.43266799931166583,0.3731573845271341,0.47502409957539254,0.2299660626738527,0.4141460850956712,0.2314192971355848,22.400000000000002,-0.8148825529774789,complete-current-cfbd-schedule
49,Navy,american,78.05072463768116,87.8840579710145,66.07971014492753,,,53.68115942028986,106,0.26844744475455923,0.7230407316003884,-0.18614584209126994,12,prior-fbs-opponent-adjusted,fbs,false,,6.462929036501876,5.933452447548361,6.426948257624981,5.854048360781766,0.4693860329756874,0.41162650940882445,0.46517314064879994,0.39968839112676985,1.1019725997172423,-0.3056908645774224,0.7593811458730817,-0.06660081960511752,13.8,-1.1456845391525734,complete-current-cfbd-schedule
50,Clemson,acc,77.6231884057971,67.36231884057972,82.7536231884058,,,62.231884057971016,86,0.2575503519161797,-0.06805395479036455,0.583154658622724,12,prior-fbs-opponent-adjusted,fbs,false,,5.637925213579101,5.465166827592042,5.654450069008806,5.452902650598903,0.37550631791804073,0.3179419262982522,0.3802858675714826,0.31573321451410225,0.009645997275134802,0.28985011984250414,-0.14220124000618967,0.8764591974029438,41.4,-0.08404095561389854,complete-current-cfbd-schedule
51,Illinois,big-ten,77.19565217391305,73.34782608695652,76.76811594202898,,,64.36956521739131,81,0.2556124172808324,0.1551898107991273,0.35603502376253754,12,prior-fbs-opponent-adjusted,fbs,false,,5.709620738059443,5.418941065091737,5.728344013721205,5.344867486194482,0.42431393430057596,0.3807040057398528,0.4334950444503613,0.3704500149904963,0.11413338994246516,0.4502391419064523,0.4229300794724933,0.26183090561862277,21.099999999999998,-0.8648875043760399,complete-current-cfbd-schedule
52,LSU,sec,76.76811594202898,55.391304347826086,88.73913043478261,,,93.44202898550725,13,0.2519889200263923,-0.5015421581201602,1.0055199981729448,12,prior-fbs-opponent-adjusted,fbs,false,,5.25965982630169,5.083777115627521,5.31230628902646,4.99515634774713,0.3403548925543504,0.3118369375984073,0.351395491096819,0.3010299356610283,-0.4741515808192652,0.9694203530394587,-0.4490441106359634,1.0416196433064306,21.2,-0.8610409696530736,complete-current-cfbd-schedule
53,Georgia Tech,acc,76.34057971014492,90.02173913043478,61.3768115942029,,,71.21014492753623,65,0.23040512756284276,0.8456912368966407,-0.3848809817709552,12,prior-fbs-opponent-adjusted,fbs,false,,6.711641911022717,6.169423597645587,6.687872016579605,6.176366314851763,0.4583846584098132,0.39528540273456764,0.457063039419875,0.39247360123625996,1.4709235789109814,-0.7842041498760743,0.6732442710433684,0.014442186334163927,12.6,-1.1918429558281678,complete-current-cfbd-schedule
54,Southern Miss,sun-belt,75.91304347826087,77.6231884057971,73.77536231884058,,,69.07246376811594,70,0.22233850346142034,0.254746280087306,0.1899307268355347,12,prior-fbs-opponent-adjusted,fbs,false,,5.73676179734343,5.466896787241317,5.6892825641994795,5.495449158527535,0.40746846727213826,0.3785018127187844,0.40391323167079096,0.3801229426742675,0.05889978412784916,0.226685567480976,0.10874350735647217,0.15317588619009337,90.2,1.7930679891936137,complete-current-cfbd-schedule
55,UTSA,american,75.48550724637681,90.8768115942029,57.528985507246375,,,72.92028985507247,61,0.20822368077976544,0.9347722044621691,-0.5183248429026382,12,prior-fbs-opponent-adjusted,fbs,false,,6.144135241971493,5.854913658851181,6.12614532785637,5.811829169725301,0.5068571155624212,0.4711131861041337,0.5067856783737708,0.46441225458906066,0.6766317418087252,-0.24301224689578607,1.201345290608876,-0.7936374389094903,66.9,0.8968253987424861,complete-current-cfbd-schedule
