gsis_id,pfr_id,espn_id,display_name,position,position_group,status
COM118654,CombCh20,,Chris Combs,TE,TE,ACT
00-0020424,CombDe20,3998316,Derek Combs,RB,RB,ACT
00-0003343,ComeDa20,,Darren Comeaux,MLB,LB,ACT
00-0003344,ComeGr00,1695,Greg Comella,RB,RB,ACT
00-0035265,ComiJo00,4411771,John Cominsky,DE,DL,RES
00-0030462,CommSa00,15913,Sanders Commings,CB,DB,CUT
COM355962,CommCh20,,Chuck Commiskey,G,OL,ACT
00-0026534,CompJo00,12944,Jonathan Compas,G,OL,CUT
COM533943,CompCh20,,Chuck Compton,DB,DB,ACT
00-0003354,CompMi20,465,Mike Compton,G,OL,ACT
00-0029144,CompTo00,15082,Tom Compton,G,OL,RES
00-0029869,CompWi00,16324,Will Compton,ILB,LB,CUT
00-0003356,ConaBi20,1397,Bill Conaty,C,OL,RES
CON041528,ConcJa00,,Jack Concannon,QB,QB,ACT
00-0041547,ConcKC00,4870653,KC Concepcion,WR,WR,ACT
00-0023177,CondJo20,9276,Jon Condo,LS,SPEC,CUT
CON083056,CondTo20,,Tom Condon,G,OL,ACT
00-0025518,CondBr99,10574,Brannon Condren,DB,DB,DEV
00-0028792,ConeKe00,14818,Kevin Cone,WR,WR,DEV
00-0040686,ConeJo00,4685326,Josh Conerly Jr.,OT,OL,ACT
00-0035115,ConeTe01,3862861,Te'Von Coney,LB,LB,DEV
00-0003367,ConkCa00,7253,Cary Conklin,QB,QB,ACT
00-0033057,ConkJa00,2979534,Jack Conklin,OT,OL,RES
00-0034270,ConkTy00,3915486,Tyler Conklin,TE,TE,ACT
00-0003368,ConlSh00,7015,Shane Conlan,MLB,LB,RES
00-0032128,ConlCh00,2578533,Chris Conley,WR,WR,ACT
00-0003372,ConlSt20,8010,Steve Conley,LB,LB,CUT
00-0033882,ConlGa00,3051391,Gareon Conley,CB,DB,RES
00-0040564,ConlJa00,4426955,Jack Conley,OT,OL,ACT
00-0026647,ConlT.00,12966,T.J. Conley,P,SPEC,ACT
00-0003373,ConlCh20,,Chris Conlin,G,OL,ACT
CON311460,ConlRa20,,Ray Conlin,DT,DL,ACT
CON352988,ConnDi20,,Dick Conn,DB,DB,ACT
