season,week,game_id,kickoff_utc,team,opponent,venue,team_spread,closing_total,implied_team_total,team_total_margin,team_points,team_sack_rate,team_sacks,pass_plays,team_pass_epa_db,team_pass_epa,team_pass_success_rate,team_explosive_pass_rate,actual_hits_allowed,historical_pass_rush_edge_z,offense_prior_games,defense_prior_games,protection_z,pass_rush_z,protection_percentile,pass_rush_percentile,protection_quintile,rush_quintile,protection_quintile_label,rush_quintile_label,risk_group,component_interaction,additive_matchup_z,protection_raw_prior4,protection_raw_prior8,protection_raw_prior16,protection_raw_season_to_date,protection_raw_ewma,pass_rush_raw_prior4,pass_rush_raw_prior8,pass_rush_raw_prior16,pass_rush_raw_season_to_date,pass_rush_raw_ewma
2024,2,2024_02_BUF_MIA,2024-09-13T00:15:00.000Z,buf,mia,away,2.5,48.5,23,8,31,0,0,20,0.541183851927,10.8236770385,0.5,0.105263157895,0,1.31587762895,8,8,-0.437555773091,2.29848776237,0.328125,0.984375,1,4,good,elite rush,other,-1.0057165898,1.31587762895,0.129496402878,0.129449838188,0.108452950558,,0.124807371093,0.188811188811,0.224025974026,0.208667736758,,0.202982426632
2024,2,2024_02_BUF_MIA,2024-09-13T00:15:00.000Z,mia,buf,home,-2.5,48.5,25.5,-15.5,10,0.0454545454545,2,44,-0.344282004193,-15.1484081845,0.454545454545,0.025641025641,5,-0.582838511507,8,8,-0.884867625484,0.0606094978377,0.171875,0.546875,0,2,elite protection,average,other,-0.0536313824334,-0.582838511507,0.1,0.113402061856,0.104825291181,,0.10591271066,0.153846153846,0.147435897436,0.165680473373,,0.153467083638
2024,2,2024_02_CLE_JAX,2024-09-15T17:00:00.000Z,cle,jax,away,3,41.5,19.25,-1.25,18,0.047619047619,2,42,0.0305957041996,1.28501957638,0.428571428571,0.0882352941176,8,0.353104604307,8,8,0.361570623301,0.137794697047,0.703125,0.578125,3,2,poor,average,other,0.0498225144989,0.353104604307,0.203488372093,0.158038147139,0.163352272727,,0.178253920724,0.149350649351,0.149068322981,0.151424287856,,0.152340521429
2024,2,2024_02_CLE_JAX,2024-09-15T17:00:00.000Z,jax,cle,home,-3,41.5,22.25,-9.25,13,0.1,4,40,-0.0423005784158,-1.69202313663,0.4,0.166666666667,7,-0.868498734636,8,8,-0.735902958865,-0.49233973056,0.234375,0.296875,1,1,good,poor,other,0.362314264486,-0.868498734636,0.106918238994,0.118644067797,0.124450951684,,0.118669498135,0.10989010989,0.128205128205,0.151368760064,,0.132787367209
2024,2,2024_02_IND_GB,2024-09-15T17:00:00.000Z,gb,ind,home,3,41.5,19.25,-3.25,16,0,0,19,0.441884465555,8.39580484555,0.473684210526,0.0714285714286,0,0.00240886999809,8,8,-0.91511464248,0.918521299101,0.140625,0.796875,0,3,elite protection,good,other,-0.840552290237,0.00240886999809,0.0769230769231,0.112211221122,0.121118012422,,0.110452117026,0.148387096774,0.174917491749,0.169628432956,,0.172884041086
2024,2,2024_02_IND_GB,2024-09-15T17:00:00.000Z,ind,gb,away,-3,41.5,22.25,-12.25,10,0.0263157894737,1,38,-0.119707673172,-4.54889158054,0.421052631579,0.0588235294118,3,0.688107999993,8,8,-0.524126159263,1.49725782523,0.328125,0.921875,1,4,good,elite rush,other,-0.784751993364,0.688107999993,0.139534883721,0.126245847176,0.122383252818,,0.12295014624,0.237762237762,0.194078947368,0.169463087248,,0.184524838997
2024,2,2024_02_LAC_CAR,2024-09-15T17:00:00.000Z,car,lac,home,5,39,17,-14,3,0.0645161290323,2,31,-0.757968970436,-23.4970380835,0.193548387097,0,2,0.145442589367,8,8,0.571201940444,-0.365515058014,0.78125,0.328125,3,1,poor,poor,other,-0.208782910399,0.145442589367,0.186206896552,0.165562913907,0.173784977909,,0.173263545444,0.15,0.132404181185,0.129909365559,,0.136671395458
2024,2,2024_02_LAC_CAR,2024-09-15T17:00:00.000Z,lac,car,away,-5,39,22,4,26,0.0416666666667,1,24,0.136014519159,3.26434845981,0.583333333333,0.05,2,-0.676430243856,8,8,-0.256895665891,-0.69972115897,0.453125,0.234375,2,1,average,poor,other,0.179755333072,-0.676430243856,0.122807017544,0.135838150289,0.13976945245,,0.136550186122,0.1171875,0.121338912134,0.125244618395,,0.116811406078
2024,2,2024_02_LV_BAL,2024-09-15T17:00:00.000Z,bal,lv,home,-9,41,25,-2,23,0.0526315789474,2,38,0.0222376156263,0.845029393798,0.487179487179,0.0294117647059,2,-0.512523300149,8,8,-1.05020937149,0.325391969389,0.078125,0.703125,0,3,elite protection,good,other,-0.34172969566,-0.512523300149,0.0778443113772,0.10736196319,0.1056,,0.0969752176644,0.177215189873,0.155279503106,0.141706924316,,0.160701613603
2024,2,2024_02_LV_BAL,2024-09-15T17:00:00.000Z,lv,bal,away,9,41,16,10,26,0.108695652174,5,46,0.0827392958972,3.80600761127,0.521739130435,0.131578947368,10,0.0218566217329,8,8,-0.271510943934,0.302420874816,0.421875,0.671875,2,3,average,good,other,-0.0821105771867,0.0218566217329,0.153333333333,0.135313531353,0.135842880524,,0.139131536377,0.149350649351,0.154518950437,0.156609195402,,0.154205541905
