window,protection_quintile,protection_label,rush_quintile,rush_label,group,dimension,n,games,small_n_lt_25,mean_team_sack_rate,median_team_sack_rate,mean_team_sacks,median_team_sacks,mean_team_pass_epa_db,median_team_pass_epa_db,mean_team_pass_success_rate,median_team_pass_success_rate,mean_team_explosive_pass_rate,median_team_explosive_pass_rate,mean_team_points,median_team_points,mean_team_total_margin,median_team_total_margin
2023,1,elite protection,4,good,,matrix,18,17,True,0.0456249639989,0.0465367965367,2,2,0.025202531347,0.0513405478642,0.463308056136,0.464510332435,0.084526648111,0.0765107212476,20.7777777778,19,-2.05555555556,-2.5
2023,1,elite protection,5,elite rush,,matrix,25,25,False,0.063457490257,0.0588235294118,2.44,2,0.0500957580104,0.0289549109643,0.448552104409,0.458333333333,0.0917855013963,0.08,23.36,20,0.09,-2.75
2023,2,good,1,very poor rush,,matrix,21,21,True,0.0478303573424,0.0434782608696,1.85714285714,2,0.0636504132193,0.0600437837728,0.479546687513,0.483870967742,0.0851746879558,0.0909090909091,21.2857142857,20,-1.53571428571,-4.25
2023,2,good,2,poor,,matrix,28,27,False,0.0488287735995,0.0449949443883,1.96428571429,2,0.110579401695,0.0469720447959,0.480219650464,0.5,0.105722324828,0.109126984127,22.8214285714,22.5,-0.0178571428571,1.125
2023,2,good,3,average,,matrix,15,15,True,0.0462497564106,0.0512820512821,1.8,2,0.191357115569,0.240150375028,0.491146436681,0.487804878049,0.112968403286,0.107142857143,27.4666666667,27,6.18333333333,5
2023,2,good,4,good,,matrix,30,30,False,0.0630948178623,0.061862244898,2.63333333333,3,0.054846192217,0.0886520394605,0.486440018893,0.476136363637,0.101379756109,0.107625482626,22.9666666667,21,1.225,0.625
2023,2,good,5,elite rush,,matrix,23,22,True,0.064860077866,0.0652173913043,2.52173913043,3,0.0229555231674,0.0386721689592,0.444257603224,0.431034482759,0.098713087878,0.0714285714286,22.1739130435,19,1.30434782609,-1.25
2023,3,average,1,very poor rush,,matrix,19,19,True,0.0398278448349,0.0416666666667,1.57894736842,2,0.234508500329,0.237255796232,0.546586744514,0.526315789474,0.104662295469,0.0909090909091,28.5263157895,27,5.35526315789,3
2023,3,average,2,poor,,matrix,22,22,True,0.0550430595782,0.0303308823529,2.09090909091,1,0.170315444915,0.192983914971,0.504298688938,0.515377446412,0.106100849036,0.1,24.7727272727,22,2.93181818182,0.5
2023,3,average,3,average,,matrix,22,22,True,0.0600237832359,0.0625,2.5,2.5,0.0564540519152,-0.0113240231203,0.432459543628,0.413381123058,0.0940871980148,0.0871212121212,22,22.5,-0.443181818182,-0.5
2023,3,average,4,good,,matrix,20,20,True,0.0800848357825,0.0833333333333,3.15,3,-0.125794109584,-0.154336636224,0.426167485619,0.409677419355,0.0818135899265,0.0568733153639,16.9,17,-2.8875,-3.375
2023,3,average,5,elite rush,,matrix,17,17,True,0.0698336878107,0.0526315789474,2.58823529412,2,0.0542976696918,0.138513198812,0.469743721716,0.490566037736,0.104474114835,0.1,22.0588235294,21,1.08823529412,-2.25
2023,4,poor,1,very poor rush,,matrix,19,19,True,0.044376166543,0.0322580645161,1.68421052632,1,0.131631748655,0.182387446442,0.481630390592,0.487179487179,0.0951464540838,0.0882352941176,20.6315789474,21,-1.85526315789,-1.5
2023,4,poor,2,poor,,matrix,21,21,True,0.0757367086925,0.0606060606061,2.80952380952,2,-0.00950795332878,-0.00783430972197,0.433092377388,0.425531914894,0.104495194094,0.0810810810811,20.9047619048,20,-0.0714285714286,0.5
2023,4,poor,3,average,,matrix,35,34,False,0.0602296324544,0.0606060606061,2.45714285714,2,-0.029765219506,-0.0325679926153,0.436907259899,0.442307692308,0.0829799607102,0.0833333333333,20.3142857143,20,-1.07857142857,-1
2023,4,poor,4,good,,matrix,29,28,False,0.0820905862746,0.0816326530612,3.51724137931,3,-0.0402858133923,-0.0525909750842,0.441182556847,0.448979591837,0.0808611610652,0.0714285714286,20.724137931,20,0.387931034483,-1.25
2023,4,poor,5,elite rush,,matrix,22,22,True,0.0588016371516,0.0476460578559,2.45454545455,2,-0.00540045737157,0.0396968838877,0.410827284032,0.421099290781,0.0818181528673,0.059714795009,20.8181818182,21.5,1.47727272727,1.625
2023,5,very poor,1,very poor rush,,matrix,25,25,False,0.0952693984265,0.0806451612903,3.88,4,-0.0668552124488,-0.0671298807254,0.409330850492,0.418181818182,0.074755836287,0.0645161290323,19.16,20,-0.55,0.75
2023,5,very poor,2,poor,,matrix,22,21,True,0.0948786529923,0.0854545454546,3.81818181818,4,-0.142510902056,-0.116977875453,0.418514136276,0.42803030303,0.0825889045653,0.0857843137255,16.5909090909,17,-3.27272727273,-4.125
2023,5,very poor,3,average,,matrix,18,18,True,0.0790191782626,0.0845238095238,3.11111111111,3,-0.0214116208651,-0.0217453285478,0.451922605112,0.471405228758,0.0973319233063,0.101673101673,18.7222222222,17,-0.430555555556,-2.875
2023,5,very poor,4,good,,matrix,18,18,True,0.0823573683682,0.075,3.16666666667,3,-0.0540624111477,0.0219349071164,0.402728883366,0.420076377523,0.102285315348,0.0885416666667,18.5555555556,20,0.569444444444,2.75
2023,5,very poor,5,elite rush,,matrix,17,17,True,0.0935873248232,0.093023255814,3.94117647059,4,-0.0789344586171,-0.0833661365299,0.41549144116,0.395348837209,0.0829134972481,0.0731707317073,20.1764705882,21,1.29411764706,1.25
2024,1,elite protection,1,very poor rush,,matrix,19,18,True,0.054617003883,0.0322580645161,2.05263157895,1,0.0874529766308,0.0813423233671,0.459109756492,0.457142857143,0.0968543942657,0.09375,24.7368421053,24,1.65789473684,1
2024,1,elite protection,2,poor,,matrix,21,21,True,0.0485360370183,0.046511627907,1.90476190476,2,0.227141379,0.222296893777,0.514206308955,0.488888888889,0.116050693412,0.114285714286,28.5714285714,29,4.30952380952,2
2024,1,elite protection,3,average,,matrix,15,15,True,0.0401288894533,0.0263157894737,1.6,1,0.216417358898,0.258326001368,0.508300825751,0.538461538462,0.108008567136,0.108108108108,25.9333333333,27,1.25,4.25
2024,1,elite protection,4,good,,matrix,24,23,True,0.0543379710827,0.0505093378608,2.08333333333,2,0.115038648707,0.144250144297,0.468796824218,0.477582846003,0.0841959250759,0.0833333333333,23,22.5,0.666666666667,0.5
