team,season,week,game_id,pregame_prior8,pregame_percentile,pregame_prior4,pregame_prior16,pregame_season_to_date,pregame_ewma,prior4_at_game,next4_from_game,prior8_at_game,next8_from_game
det,2024,11,2024_11_JAX_DET,0.174603174603,0.796875,0.190909090909,0.169675090253,0.173144876325,0.171736569854,0.190909090909,0.106918238994,0.174603174603,0.121580547112
det,2024,12,2024_12_DET_IND,0.155172413793,0.578125,0.134453781513,0.156133828996,0.158878504673,0.146904558195,0.134453781513,0.135135135135,0.155172413793,
det,2024,13,2024_13_CHI_DET,0.174796747967,0.828125,0.148148148148,0.161524500907,0.16620498615,0.16272291586,0.148148148148,0.106741573034,0.174796747967,
det,2024,14,2024_14_GB_DET,0.162790697674,0.75,0.12925170068,0.152014652015,0.158690176322,0.147658978194,0.12925170068,0.111731843575,0.162790697674,
det,2024,15,2024_15_BUF_DET,0.14126394052,0.453125,0.106918238994,0.142599277978,0.149321266968,0.129875878264,0.106918238994,0.135294117647,0.14126394052,
det,2024,16,2024_16_DET_CHI,0.134868421053,0.484375,0.135135135135,0.149565217391,0.150197628458,0.137640433745,0.135135135135,,0.134868421053,
det,2024,17,2024_17_DET_SF,0.124600638978,0.421875,0.106741573034,0.143106457243,0.146567717996,0.130377477939,0.106741573034,,0.124600638978,
det,2024,18,2024_18_MIN_DET,0.11963190184,0.484375,0.111731843575,0.144097222222,0.144097222222,0.127173436405,0.111731843575,,0.11963190184,
det,2025,1,2025_01_DET_GB,0.121580547112,0.421875,0.135294117647,0.144578313253,,0.133150523409,,0.179104477612,,0.200729927007
det,2025,2,2025_02_CHI_DET,0.140298507463,0.578125,0.146666666667,0.146384479718,,0.146127933188,,0.186440677966,,0.191729323308
det,2025,3,2025_03_DET_BAL,0.129230769231,0.453125,0.156462585034,0.148861646235,,0.144909365134,,0.183333333333,,0.196363636364
det,2025,4,2025_04_CLE_DET,0.141065830721,0.578125,0.178571428571,0.150779896014,,0.152417707239,,0.196850393701,,0.189003436426
det,2025,5,2025_05_DET_CIN,0.154605263158,0.734375,0.179104477612,0.148342059337,0.179104477612,0.153917144539,0.179104477612,0.221428571429,,0.194539249147
det,2025,6,2025_06_DET_KC,0.164179104478,0.765625,0.186440677966,0.148601398601,0.191358024691,0.166438342535,0.186440677966,0.195945945946,,0.190789473684
