window,contrast,outcome,n_a,n_b,difference,ci_low,ci_high
2023,elite rush: average vs elite protection,team_pass_success_rate,17,25,0.0211916173072,-0.0193630527106,0.0612501279699
2023,elite rush: average vs elite protection,team_total_margin,17,25,0.998235294118,-4.47209086134,6.35380952381
2023,elite rush: very poor vs average protection,team_sack_rate,17,17,0.0237536370125,-0.0108539737381,0.05935921922
2023,elite rush: very poor vs average protection,team_pass_epa_db,17,17,-0.133232128309,-0.328880707822,0.0483819764325
2023,elite rush: very poor vs average protection,team_pass_success_rate,17,17,-0.0542522805564,-0.105752836911,-0.00554672125447
2023,elite rush: very poor vs average protection,team_total_margin,17,17,0.205882352941,-6.77375457875,6.13169642857
2024,very poor protection: elite vs very poor rush,team_sack_rate,27,16,-0.00969758365652,-0.0454987536573,0.0256922375437
2024,very poor protection: elite vs very poor rush,team_pass_epa_db,27,16,-0.0808913798793,-0.228077813191,0.0743877728734
2024,very poor protection: elite vs very poor rush,team_pass_success_rate,27,16,0.018343515227,-0.0397136060445,0.0799705507666
2024,very poor protection: elite vs very poor rush,team_total_margin,27,16,0.876157407407,-4.46987608091,5.73875202906
2024,very poor protection: average vs very poor rush,team_sack_rate,13,16,-0.0144016932836,-0.0527188928259,0.0255160962915
2024,very poor protection: average vs very poor rush,team_pass_epa_db,13,16,0.104969437868,-0.10679546102,0.311710271772
2024,very poor protection: average vs very poor rush,team_pass_success_rate,13,16,0.029004509448,-0.0450106773817,0.0981182736221
2024,very poor protection: average vs very poor rush,team_total_margin,13,16,3.91105769231,-2.19223214286,10.4670272436
2024,very poor protection: elite vs average rush,team_sack_rate,27,13,0.00470410962704,-0.0281392038062,0.0358341330757
2024,very poor protection: elite vs average rush,team_pass_epa_db,27,13,-0.185860817747,-0.418919493383,0.00720879231482
2024,very poor protection: elite vs average rush,team_pass_success_rate,27,13,-0.010660994221,-0.0801226225171,0.0640926486968
2024,very poor protection: elite vs average rush,team_total_margin,27,13,-3.0349002849,-9.92212970219,2.70694480519
2024,elite rush: very poor vs elite protection,team_sack_rate,27,22,0.0202806273444,-0.00975584781046,0.0485624089099
2024,elite rush: very poor vs elite protection,team_pass_epa_db,27,22,-0.260900114143,-0.416437457672,-0.0982929031215
2024,elite rush: very poor vs elite protection,team_pass_success_rate,27,22,-0.0262220908926,-0.0818142217405,0.0284878817162
2024,elite rush: very poor vs elite protection,team_total_margin,27,22,-2.41077441077,-7.65944940476,2.77980576441
2024,elite rush: average vs elite protection,team_sack_rate,16,22,0.0110725228761,-0.0199024417855,0.0435166714515
2024,elite rush: average vs elite protection,team_pass_epa_db,16,22,-0.151534871807,-0.326567950105,0.0450127650045
2024,elite rush: average vs elite protection,team_pass_success_rate,16,22,-0.0317903315534,-0.0831001606007,0.0238286159318
2024,elite rush: average vs elite protection,team_total_margin,16,22,0.494318181818,-5.41357155797,6.66929924242
2024,elite rush: very poor vs average protection,team_sack_rate,27,16,0.00920810446823,-0.0206118618534,0.0385092604334
2024,elite rush: very poor vs average protection,team_pass_epa_db,27,16,-0.109365242335,-0.271311357419,0.0424431261963
2024,elite rush: very poor vs average protection,team_pass_success_rate,27,16,0.00556824066077,-0.048754952236,0.0566676986564
2024,elite rush: very poor vs average protection,team_total_margin,27,16,-2.90509259259,-8.42193452381,2.39907284142
2025,very poor protection: elite vs very poor rush,team_sack_rate,22,16,0.00273007792924,-0.0288658937473,0.0328859343525
2025,very poor protection: elite vs very poor rush,team_pass_epa_db,22,16,-0.0676416557321,-0.242856544895,0.146058766833
2025,very poor protection: elite vs very poor rush,team_pass_success_rate,22,16,-0.0302438799986,-0.080319642958,0.025401513512
2025,very poor protection: elite vs very poor rush,team_total_margin,22,16,-0.990056818182,-6.69893543956,5.48250194099
2025,very poor protection: average vs very poor rush,team_sack_rate,18,16,0.0284299296897,-0.00720494078716,0.0644169342352
2025,very poor protection: average vs very poor rush,team_pass_epa_db,18,16,0.0297276985047,-0.169660996968,0.239834910599
2025,very poor protection: average vs very poor rush,team_pass_success_rate,18,16,0.0148282934467,-0.0479984598512,0.0813079770391
2025,very poor protection: average vs very poor rush,team_total_margin,18,16,-0.227430555556,-6.34533263305,6.14850457702
2025,very poor protection: elite vs average rush,team_sack_rate,22,18,-0.0256998517605,-0.0575077346499,0.00799782927185
2025,very poor protection: elite vs average rush,team_pass_epa_db,22,18,-0.0973693542368,-0.309209779024,0.111149612506
2025,very poor protection: elite vs average rush,team_pass_success_rate,22,18,-0.0450721734453,-0.107885690403,0.0190392329804
2025,very poor protection: elite vs average rush,team_total_margin,22,18,-0.762626262626,-6.4608814836,5.29414885952
2025,elite rush: very poor vs elite protection,team_sack_rate,22,13,0.0259881078743,-0.00152757416135,0.0532701268781
2025,elite rush: very poor vs elite protection,team_pass_epa_db,22,13,-0.231309481004,-0.430052668805,-0.0308759843133
2025,elite rush: very poor vs elite protection,team_pass_success_rate,22,13,-0.0627374038567,-0.108139982601,-0.0112130626139
2025,elite rush: very poor vs elite protection,team_total_margin,22,13,-5.61625874126,-11.7582392894,1.22902462121
2025,elite rush: average vs elite protection,team_sack_rate,26,13,0.0110787848867,-0.0127248707426,0.0334817676829
2025,elite rush: average vs elite protection,team_pass_epa_db,26,13,-0.11600987665,-0.299373332822,0.0732881731167
2025,elite rush: average vs elite protection,team_pass_success_rate,26,13,-0.0120790389253,-0.0567227772123,0.0345174589228
2025,elite rush: average vs elite protection,team_total_margin,26,13,-4.42307692308,-10.3139583333,1.45583333333
2025,elite rush: very poor vs average protection,team_sack_rate,22,26,0.0149093229877,-0.00919937330674,0.0366468553488
2025,elite rush: very poor vs average protection,team_pass_epa_db,22,26,-0.115299604353,-0.295496243345,0.0670741489446
2025,elite rush: very poor vs average protection,team_pass_success_rate,22,26,-0.0506583649313,-0.100603960511,-0.00344190012345
2025,elite rush: very poor vs average protection,team_total_margin,22,26,-1.19318181818,-6.49412016908,3.77987098837
