window,outcome,model,term,n,games,coefficient,se,ci_low,ci_high,p_normal,clustered_by_game,signal_form
2022-2025 full,team_sack_rate,pass_rush_z,pass_rush_z,2046,1023,0.0036653002808,0.00110419780119,0.00150107259047,0.00582952797113,0.000902034717997,True,B rush
2022-2025 full,team_sack_rate,protection_z+pass_rush_z,intercept,2046,1023,0.0628408280211,0.000987249702147,0.0609058186049,0.0647758374373,0,True,C additive
2022-2025 full,team_sack_rate,protection_z+pass_rush_z,protection_z,2046,1023,0.0102639388871,0.00106884245288,0.00816900767951,0.0123588700948,7.77602411701e-22,True,C additive
2022-2025 full,team_sack_rate,protection_z+pass_rush_z,pass_rush_z,2046,1023,0.0036470830048,0.00108014521635,0.00152999838075,0.00576416762886,0.000734211217764,True,C additive
2022-2025 full,team_sack_rate,protection_z+pass_rush_z+component_interaction,intercept,2046,1023,0.0628413602081,0.000987738961919,0.0609053918427,0.0647773285734,0,True,D interaction
2022-2025 full,team_sack_rate,protection_z+pass_rush_z+component_interaction,protection_z,2046,1023,0.0102690682143,0.00106834305749,0.00817511582164,0.012363020607,7.10532187847e-22,True,D interaction
2022-2025 full,team_sack_rate,protection_z+pass_rush_z+component_interaction,pass_rush_z,2046,1023,0.00364338624282,0.00108309022728,0.00152052939736,0.00576624308828,0.00076854775033,True,D interaction
2022-2025 full,team_sack_rate,protection_z+pass_rush_z+component_interaction,component_interaction,2046,1023,-0.000325132626603,0.00105514689864,-0.00239322054793,0.00174295529473,0.757976049717,True,D interaction
2022-2025 full,team_pass_epa_db,protection_z,intercept,2046,1023,0.0564662811814,0.00634922975427,0.044021790863,0.0689107714997,5.9263528302e-19,True,A protection
2022-2025 full,team_pass_epa_db,protection_z,protection_z,2046,1023,-0.0475416584434,0.00650150219276,-0.0602846027412,-0.0347987141455,2.62390382997e-13,True,A protection
2022-2025 full,team_pass_epa_db,pass_rush_z,intercept,2046,1023,0.0562903949372,0.00639935308484,0.0437476628909,0.0688331269835,1.41447425527e-18,True,B rush
2022-2025 full,team_pass_epa_db,pass_rush_z,pass_rush_z,2046,1023,-0.0264890671203,0.00660907963512,-0.0394428632052,-0.0135352710355,6.12399863295e-05,True,B rush
2022-2025 full,team_pass_epa_db,protection_z+pass_rush_z,intercept,2046,1023,0.0563892394744,0.00633611862767,0.0439704469641,0.0688080319846,5.60229625522e-19,True,C additive
2022-2025 full,team_pass_epa_db,protection_z+pass_rush_z,protection_z,2046,1023,-0.0474950868964,0.00651994306413,-0.0602741753021,-0.0347159984907,3.22659255339e-13,True,C additive
2022-2025 full,team_pass_epa_db,protection_z+pass_rush_z,pass_rush_z,2046,1023,-0.0264047689658,0.00651758397037,-0.0391792335477,-0.0136303043839,5.09311456128e-05,True,C additive
2022-2025 full,team_pass_epa_db,protection_z+pass_rush_z+component_interaction,intercept,2046,1023,0.0563913282401,0.0063372431309,0.0439703317035,0.0688123247766,5.66571850642e-19,True,D interaction
2022-2025 full,team_pass_epa_db,protection_z+pass_rush_z+component_interaction,protection_z,2046,1023,-0.0474749549459,0.00652686100487,-0.0602676025155,-0.0346823073764,3.49563572284e-13,True,D interaction
2022-2025 full,team_pass_epa_db,protection_z+pass_rush_z+component_interaction,pass_rush_z,2046,1023,-0.0264192782819,0.00651751730492,-0.0391936121995,-0.0136449443642,5.04397237763e-05,True,D interaction
2022-2025 full,team_pass_epa_db,protection_z+pass_rush_z+component_interaction,component_interaction,2046,1023,-0.00127610380684,0.00644407994094,-0.0139065004911,0.0113542928774,0.843023697662,True,D interaction
2022-2025 full,team_pass_success_rate,protection_z,intercept,2046,1023,0.461143427552,0.00215301810752,0.456923512061,0.465363343043,0,True,A protection
2022-2025 full,team_pass_success_rate,protection_z,protection_z,2046,1023,-0.012598347086,0.0021533892302,-0.0168189899772,-0.00837770419484,4.90174930328e-09,True,A protection
2022-2025 full,team_pass_success_rate,pass_rush_z,intercept,2046,1023,0.461087604543,0.00215890168864,0.456856157234,0.465319051853,0,True,B rush
2022-2025 full,team_pass_success_rate,pass_rush_z,pass_rush_z,2046,1023,-0.0101813632951,0.00213133818196,-0.0143587861318,-0.0060039404585,1.77946042454e-06,True,B rush
2022-2025 full,team_pass_success_rate,protection_z+pass_rush_z,intercept,2046,1023,0.46111378634,0.00214031567142,0.456918767624,0.465308805056,0,True,C additive
2022-2025 full,team_pass_success_rate,protection_z+pass_rush_z,protection_z,2046,1023,-0.0125804290367,0.00215982235618,-0.0168136808548,-0.00834717721856,5.71975591967e-09,True,C additive
2022-2025 full,team_pass_success_rate,protection_z+pass_rush_z,pass_rush_z,2046,1023,-0.0101590345235,0.00211424226726,-0.0143029493673,-0.00601511967964,1.54714768809e-06,True,C additive
2022-2025 full,team_pass_success_rate,protection_z+pass_rush_z+component_interaction,intercept,2046,1023,0.461114320336,0.00214063635692,0.456918673077,0.465309967596,0,True,D interaction
2022-2025 full,team_pass_success_rate,protection_z+pass_rush_z+component_interaction,protection_z,2046,1023,-0.0125752822694,0.00216028956119,-0.0168094498093,-0.00834111472948,5.845822332e-09,True,D interaction
2022-2025 full,team_pass_success_rate,protection_z+pass_rush_z+component_interaction,pass_rush_z,2046,1023,-0.0101627438547,0.00211681010408,-0.0143116916587,-0.00601379605071,1.57898161337e-06,True,D interaction
2022-2025 full,team_pass_success_rate,protection_z+pass_rush_z+component_interaction,component_interaction,2046,1023,-0.000326238101322,0.00213646280684,-0.00451370520274,0.00386122900009,0.8786347756,True,D interaction
2022-2025 full,team_total_margin,protection_z,intercept,2046,1023,0.423472871848,0.202641879412,0.0262947882015,0.820650955495,0.0366393739905,True,A protection
2022-2025 full,team_total_margin,protection_z,protection_z,2046,1023,-0.217894112266,0.202285074713,-0.614372858705,0.178584634172,0.281407199353,True,A protection
