game_id,season,week,team,opponent,all_offEpa,all_offPlays,all_successNum,all_successDen,all_epaPosNum,all_epaPosDen,all_earlyEpa,all_earlyPlays,all_earlySuccessNum,all_earlySuccessDen,all_passEpa,all_passPlays,all_passSuccessNum,all_passSuccessDen,all_rushEpa,all_rushPlays,all_rushSuccessNum,all_rushSuccessDen,all_explosivePass,all_explosiveRush,all_thirdEpa,all_thirdPlays,all_thirdSuccessNum,all_thirdSuccessDen,all_thirdRawConvNum,all_thirdRawConvDen,all_sacks,all_dropbacks,filtered_offEpa,filtered_offPlays,filtered_successNum,filtered_successDen,filtered_epaPosNum,filtered_epaPosDen,filtered_earlyEpa,filtered_earlyPlays,filtered_earlySuccessNum,filtered_earlySuccessDen,filtered_passEpa,filtered_passPlays,filtered_passSuccessNum,filtered_passSuccessDen,filtered_rushEpa,filtered_rushPlays,filtered_rushSuccessNum,filtered_rushSuccessDen,filtered_explosivePass,filtered_explosiveRush,filtered_thirdEpa,filtered_thirdPlays,filtered_thirdSuccessNum,filtered_thirdSuccessDen,filtered_thirdRawConvNum,filtered_thirdRawConvDen,filtered_sacks,filtered_dropbacks,drivesOff,drivePointsOff,oppTouchdownAgainst,safetyAgainst
2026_01_NE_SEA,2026,1,ne,sea,-6.558486723230086,71,29,71,29,71,-8.946310642670147,52,22,52,5.605358748749495,44,19,44,-12.163845471979586,27,10,27,3,1,-2.037312323494909,17,5,17,5,17,3,44,-6.558486723230086,71,29,71,29,71,-8.946310642670147,52,22,52,5.605358748749495,44,19,44,-12.163845471979586,27,10,27,3,1,-2.037312323494909,17,5,17,5,17,3,44,9,10,0,0
2026_01_NE_SEA,2026,1,sea,ne,1.4024340423470083,49,24,49,19,49,2.5494107776903565,35,21,35,5.4891870568803265,28,14,28,-4.0867530145333175,21,10,21,3,2,-6.215356278832187,12,2,12,2,12,2,28,1.4024340423470083,49,24,49,19,49,2.5494107776903565,35,21,35,5.4891870568803265,28,14,28,-4.0867530145333175,21,10,21,3,2,-6.215356278832187,12,2,12,2,12,2,28,10,13,0,0
2026_01_NO_DET,2026,1,det,no,-2.0940210138208295,77,38,77,35,77,-0.44625741109484673,64,33,64,0.49954563437560595,41,20,41,-2.593566648196432,36,18,36,3,7,-1.6477636027259823,13,5,13,5,13,1,41,-4.272729547460846,75,37,75,34,75,0.18034677294781654,63,33,63,-1.6791628992644123,39,19,39,-2.593566648196432,36,18,36,2,7,-4.4530763204086625,12,4,12,4,12,1,39,15,31,0,0
2026_01_NO_DET,2026,1,no,det,2.6291083305936604,88,38,88,39,88,-0.9265019412614279,67,28,67,4.355582318511088,65,28,65,-1.7264739879174291,23,10,23,10,2,-2.673476148352662,19,8,19,8,19,5,65,-2.7308268389802026,86,36,86,37,86,-6.286437110835298,65,26,65,1.1185978336820777,64,27,64,-3.849424672662289,22,9,22,9,2,-2.673476148352662,19,8,19,8,19,5,64,14,30,0,0
2026_01_NYJ_TEN,2026,1,nyj,ten,8.093502483025372,64,33,64,31,64,8.697991320688732,50,29,50,9.452823350314784,28,13,28,-1.3593208672894144,36,20,36,5,3,-3.5466068730900333,11,2,11,2,11,0,28,12.019616832397052,52,28,52,29,52,10.32438532746163,41,24,41,10.03735347335859,26,12,26,1.9822633590384617,26,16,26,5,2,-1.246886530491251,8,2,8,2,8,0,26,10,23,0,0
2026_01_NYJ_TEN,2026,1,ten,nyj,-7.0530535582296165,50,24,50,22,50,-5.8599118179990874,38,20,38,-6.0927688572922785,40,19,40,-0.960284700937337,10,5,10,0,2,-1.1931417402305273,12,4,12,4,12,3,40,-7.907317987068701,32,14,32,13,32,-5.957324321498161,24,11,24,-6.908357512097018,24,10,24,-0.998960474971683,8,4,8,0,1,-1.9499936655705399,8,3,8,3,8,1,24,10,10,0,0
2026_01_SF_LA,2026,1,lar,sf,-13.530783784924994,60,29,60,26,60,-5.068966949591409,47,26,47,-8.906958484556519,33,13,33,-4.623825300368473,27,16,27,3,2,-4.262420211976853,10,2,10,2,10,0,33,-2.9829218954546226,38,18,38,18,38,5.578479313291611,30,16,30,-1.9289895834517596,18,6,18,-1.0539323120028632,20,12,20,3,2,-4.747366538387713,7,2,7,2,7,0,18,9,7,0,0
2026_01_SF_LA,2026,1,sf,lar,12.361808198105013,65,42,65,37,65,10.866684606706276,53,35,53,8.397850532267633,37,22,37,3.963957665837379,28,20,28,3,4,1.4951235913987373,12,7,12,7,12,0,37,15.353664169079202,56,38,56,35,56,11.809868988930265,47,32,47,10.916814480608362,35,22,35,4.436849688470839,21,16,21,3,4,3.5437951801489374,9,6,9,6,9,0,35,9,27,0,0
2026_01_TB_CIN,2026,1,cin,tb,0.08407268996733047,63,33,63,30,63,4.0244840853556605,49,25,49,-1.1536468426297857,38,19,38,1.2377195325971186,25,14,25,7,4,-3.9404113953883275,14,8,14,8,14,1,38,0.4467434581942935,52,28,52,25,52,4.7948140778171435,41,22,41,-0.8017602254353906,36,18,36,1.2485036836296863,16,10,16,6,3,-4.348070619622848,11,6,11,6,11,1,36,9,26,1,0
2026_01_TB_CIN,2026,1,tb,cin,-4.555934735330263,56,30,56,29,56,-1.7932095277938118,45,25,45,-6.567271418393094,39,22,39,2.011336683062831,17,8,17,4,1,-4.815254881676261,10,5,10,5,10,4,39,-5.767478594894962,55,29,55,28,55,-3.004753387358512,44,24,44,-7.7788152779577935,38,21,38,2.011336683062831,17,8,17,3,1,-4.815254881676261,10,5,10,5,10,4,38,9,20,1,0
