window,tier,edge_bucket,group,n,games,ats_w,ats_l,ats_p,ats_pct,ats_ci_low,ats_ci_high,mean_ats_margin,median_ats_margin,su_w,su_l,su_t,su_pct,mean_score_margin,mean_qb_team_pass_epa_db,mean_sack_rate,mean_hits_allowed_rate,mean_cpoe,mean_yards_attempt,mean_pass_success_rate,mean_explosive_pass_rate,mean_qb_completion_pct,mean_qb_passer_rating,mean_qb_interceptions,mean_team_sack_fumbles,mean_sacks,mean_hits_allowed
2023-2025,resilient,favorable protection,resilient | favorable protection,97,95,52,41,4,0.5591397849462365,0.4578797367909649,0.6557078123614655,1.4742268041237114,1.0,67,30,0,0.6907216494845361,5.371134020618556,0.1416457001478765,0.04180272330219032,0.13132844101624006,1.3975945063883892,7.3974104398638945,0.4891795975528749,0.09709250793263463,0.658496569328531,97.32825032585563,0.5876288659793815,0.17525773195876287,1.5360824742268042,4.876288659793815
2023-2025,resilient,neutral,resilient | neutral,137,128,64,67,6,0.48854961832061067,0.4045028423085701,0.5732488307656145,-0.3795620437956204,0.0,72,65,0,0.5255474452554745,1.2408759124087592,0.10854917984858188,0.05807508871580135,0.1505576242656888,1.4098554904883553,7.3920555683489555,0.48769767533031405,0.09769580853562242,0.6523904923779635,93.52276057416127,0.7372262773722628,0.32116788321167883,2.321167883211679,6.0
2023-2025,resilient,moderate disadvantage,resilient | moderate disadvantage,74,71,37,36,1,0.5068493150684932,0.39472044284713675,0.6182933413530882,-0.12162162162162163,0.25,38,35,1,0.5205479452054794,0.04054054054054054,0.04910112542689747,0.06067978403198772,0.17333457283683903,0.542387514832522,7.374873525132138,0.45420841345208995,0.10421551748637327,0.6558495675764017,92.16178471495368,0.8243243243243243,0.25675675675675674,2.364864864864865,6.918918918918919
2023-2025,resilient,large disadvantage,resilient | large disadvantage,30,30,12,17,1,0.41379310344827586,0.2551293527964552,0.5926247152148476,-1.3666666666666667,-2.25,14,16,0,0.4666666666666667,-1.9,0.028861606679496755,0.08154741159254847,0.17874098044515715,-1.1158267373718993,7.145364417346576,0.4472108512931489,0.08981181609083708,0.645663108132841,91.71352005941566,0.7666666666666667,0.36666666666666664,3.1333333333333333,6.966666666666667
2023-2025,resilient,extreme disadvantage,resilient | extreme disadvantage,34,34,14,18,2,0.4375,0.2816508596944317,0.6067469796877387,-1.0588235294117647,-1.0,13,21,0,0.38235294117647056,-3.2058823529411766,-0.02570751255875567,0.08606706265142754,0.19576199732219315,0.27793639390504765,6.584565117201467,0.4234701916542334,0.09132756084815853,0.6334187536898707,87.38044386487428,0.6176470588235294,0.47058823529411764,3.3529411764705883,7.647058823529412
2023-2025,average,favorable protection,average | favorable protection,224,204,106,117,1,0.47533632286995514,0.41076428265123033,0.5407437299884266,-0.015625,-0.5,124,100,0,0.5535714285714286,2.3392857142857144,0.09949901909867223,0.05319049209491265,0.11323883379034307,1.3648639562332059,7.290997002333526,0.48492192742757023,0.08691835399677227,0.6699708270304952,94.120573270471,0.6919642857142857,0.21428571428571427,2.080357142857143,4.433035714285714
2023-2025,average,neutral,average | neutral,282,260,148,130,4,0.5323741007194245,0.4736791026078969,0.5901865581036517,0.41134751773049644,0.5,142,139,1,0.505338078291815,0.31560283687943264,0.07998231484951547,0.05895004155753988,0.13588722236551973,0.8327058120575475,7.238735193941267,0.46110819124410896,0.09157587134523572,0.6491161870281378,92.32355176264359,0.7127659574468085,0.2553191489361702,2.354609929078014,5.460992907801418
2023-2025,average,moderate disadvantage,average | moderate disadvantage,84,81,33,49,2,0.4024390243902439,0.30297275905176574,0.5106374252877619,-1.1547619047619047,-2.0,34,50,0,0.40476190476190477,-2.357142857142857,0.04513933768366838,0.061767912902347434,0.14627268443800273,0.36211202802673076,7.206293393029874,0.47202803332670745,0.09453768426457694,0.6412177261216689,87.24883439049756,0.8095238095238095,0.40476190476190477,2.488095238095238,5.833333333333333
2023-2025,average,large disadvantage,average | large disadvantage,51,51,23,28,0,0.45098039215686275,0.32267305011132247,0.5861552845835076,-1.2352941176470589,-0.5,21,30,0,0.4117647058823529,-4.2745098039215685,0.016473018883869484,0.07304000759748774,0.17090986902327135,1.5904058541329198,6.931641223585228,0.44733103738433017,0.07673845699749256,0.6426535142083262,89.67511484431034,0.7450980392156863,0.21568627450980393,2.9019607843137254,6.980392156862745
2023-2025,average,extreme disadvantage,average | extreme disadvantage,51,49,28,22,1,0.56,0.4230578680014353,0.6883801278976466,-0.29411764705882354,1.0,21,30,0,0.4117647058823529,-3.588235294117647,-0.03882311725404923,0.07675546775396497,0.182741290710946,0.9952584123730485,6.61520254334858,0.43933519395879117,0.07849490050024344,0.6377077028365424,84.41708374380873,0.8235294117647058,0.39215686274509803,3.019607843137255,7.196078431372549
2023-2025,vulnerable,favorable protection,vulnerable | favorable protection,104,104,52,49,3,0.5148514851485149,0.4186375530960129,0.6099770426369786,0.9567307692307693,0.25,62,42,0,0.5961538461538461,3.9326923076923075,0.16810524776019964,0.05565361911238897,0.10886183087733953,3.0881431329185833,7.776171017768381,0.4890302597678451,0.10830716165194212,0.6664866201973619,98.022802332113,0.625,0.2403846153846154,2.0384615384615383,4.028846153846154
2023-2025,vulnerable,neutral,vulnerable | neutral,78,76,36,40,2,0.47368421052631576,0.36541913011833066,0.5844816734727798,0.1282051282051282,-1.75,34,44,0,0.4358974358974359,-1.2820512820512822,0.08573796041715076,0.06701300856785518,0.131206043538719,2.4507854244124823,7.4005418576056154,0.47216375712394143,0.09926605157903971,0.662300742512471,94.15291740410484,0.6794871794871795,0.34615384615384615,2.6153846153846154,5.17948717948718
2023-2025,vulnerable,moderate disadvantage,vulnerable | moderate disadvantage,26,26,13,12,1,0.52,0.334982179531473,0.6996899607103998,-3.0961538461538463,0.25,9,17,0,0.34615384615384615,-6.576923076923077,-0.0876305518578006,0.08364690155138496,0.1677014891116721,-0.5441373130976167,6.495752891643233,0.4471262895462845,0.07549207924814802,0.6245901889900585,84.38243544317372,0.5769230769230769,0.5384615384615384,3.1538461538461537,6.461538461538462
2023-2025,vulnerable,large disadvantage,vulnerable | large disadvantage,13,13,5,8,0,0.38461538461538464,0.17709446581236818,0.6447751902773146,-2.8846153846153846,-2.5,5,8,0,0.38461538461538464,-4.769230769230769,-0.050852672776709455,0.0754284147746933,0.1623241498492674,-5.621487530823519,6.708833381853074,0.4088847802665654,0.08919886748599298,0.5823856659557559,80.41447778447248,1.0,0.23076923076923078,3.0,6.461538461538462
2023-2025,vulnerable,extreme disadvantage,vulnerable | extreme disadvantage,9,9,7,2,0,0.7777777777777778,0.4525833436728054,0.9367762376877727,7.611111111111111,5.5,6,3,0,0.6666666666666666,4.111111111111111,-0.037447937080657634,0.12634397404361658,0.235301540763604,-1.1949680930215727,6.694295756065454,0.3977704936234819,0.1001936026936027,0.6168149481671903,86.80455519256743,0.5555555555555556,0.3333333333333333,4.222222222222222,7.555555555555555
2023-2025,highly vulnerable,favorable protection,highly vulnerable | favorable protection,37,37,23,13,1,0.6388888888888888,0.4757478039083198,0.7752461320781867,4.594594594594595,4.0,27,10,0,0.7297297297297297,5.864864864864865,0.13553447732960633,0.058137032652765416,0.12056455843521374,2.161968404717808,7.520142097074481,0.4673012118690941,0.10158866477958695,0.6511069851443623,96.36669802192205,0.6486486486486487,0.1891891891891892,2.4054054054054053,4.972972972972973
2023-2025,highly vulnerable,neutral,highly vulnerable | neutral,60,59,30,30,0,0.5,0.37734812427246284,0.6226518757275372,-1.45,0.0,25,35,0,0.4166666666666667,-2.95,-0.0074641426877174715,0.07716462596762504,0.1529004082128837,0.5835241520237779,7.189348990084716,0.43198130731575846,0.09257501817781509,0.6382995833884958,90.39766297633292,0.65,0.43333333333333335,3.1,6.25
