window,group,n,games,ats_w,ats_l,ats_p,ats_pct,ats_ci_low,ats_ci_high,mean_ats_margin,median_ats_margin,su_w,su_l,su_t,su_pct,mean_score_margin,mean_qb_team_pass_epa_db,mean_sack_rate,mean_hits_allowed_rate,mean_cpoe,mean_yards_attempt,mean_pass_success_rate,mean_explosive_pass_rate,mean_qb_completion_pct,mean_qb_passer_rating,mean_qb_interceptions,mean_team_sack_fumbles,mean_sacks,mean_hits_allowed
2022-2025 available,vulnerable + edge + away,21,21,11,10,0,0.5238095238095238,0.32369217900266756,0.7165628770323705,-0.7142857142857143,1.0,7,14,0,0.3333333333333333,-7.476190476190476,-0.047681818190429597,0.08452814048002517,0.1545891004820076,-4.3233557506622065,6.78963885205762,0.4237163355155885,0.08116162966553239,0.5984833136654254,84.23632858131705,0.6190476190476191,0.2857142857142857,3.0,5.619047619047619
2023-2025,all,1434,766,707,694,33,0.5046395431834404,0.47848154890535455,0.5307721633992925,0.1108786610878661,0.0,730,702,2,0.5097765363128491,0.37308228730822873,0.07191171121140302,0.06182130601672206,0.14170731452068724,1.0686461283605817,7.2375660020738,0.46617414103088456,0.09290932148564866,0.6516594022486701,92.32735683450571,0.700836820083682,0.28521617852161785,2.4191073919107393,5.580892608089261
2023-2025,edge top quartile,340,291,164,167,9,0.4954682779456193,0.4419666616025599,0.5490738781631085,-0.19852941176470587,0.0,152,187,1,0.44837758112094395,-2.2058823529411766,0.008097330426900522,0.07389930798375685,0.17279837416058283,0.42092897461136436,6.963709718501206,0.44527188020201985,0.08925632761461731,0.6408394273403345,88.68090914486756,0.7147058823529412,0.3352941176470588,2.861764705882353,6.752941176470588
2023-2025,edge top 20%,286,256,136,144,6,0.4857142857142857,0.42776253346773263,0.5440527325116024,-0.48776223776223776,-0.5,120,165,1,0.42105263157894735,-2.7867132867132867,0.007420793764525328,0.07543370463840657,0.1750310381480508,0.3347600478777185,6.902482178575507,0.44344417918210427,0.08797712887651042,0.6380762945247435,88.12788806191094,0.7167832167832168,0.3356643356643357,2.9055944055944054,6.818181818181818
2023-2025,edge top 10%,148,141,68,75,5,0.4755244755244755,0.3953865848421657,0.5569430002345428,-1.152027027027027,-0.5,58,90,0,0.3918918918918919,-4.02027027027027,-0.033660429073158846,0.08334463073485165,0.186681831123614,0.13495695786324624,6.695677754401271,0.4282122067298383,0.08379412903709758,0.6335381568725769,86.10506615149168,0.7837837837837838,0.38513513513513514,3.2567567567567566,7.3175675675675675
2023-2025,edge z >=0.5,415,350,196,207,12,0.48635235732009924,0.4379129046464287,0.5350495456044797,-0.5710843373493976,0.0,177,237,1,0.427536231884058,-2.693975903614458,0.0022416782610972475,0.07302670058536027,0.17100415730467022,0.08635345670442751,6.9357405313038285,0.4450042186293179,0.08871224683002457,0.6379293693422388,87.94697495255683,0.7469879518072289,0.344578313253012,2.8457831325301206,6.7301204819277105
2023-2025,edge z >=1,205,189,97,102,6,0.48743718592964824,0.41888705666094184,0.5564631673562224,-0.675609756097561,0.0,85,120,0,0.4146341463414634,-3.3902439024390243,-0.012968284939210345,0.0797990679166875,0.17890264179751825,-0.0440649822413045,6.7688677663496355,0.4346605846347048,0.08278927792327298,0.634580927820876,87.33752245963035,0.7365853658536585,0.33170731707317075,3.107317073170732,7.034146341463415
2023-2025,vulnerable alone,370,328,190,169,11,0.5292479108635098,0.47757752396740855,0.5802989708997731,0.5851351351351352,0.5,184,186,0,0.4972972972972973,-0.01891891891891892,0.06321785095772882,0.06867821389757336,0.13780899970839128,1.3101922006506976,7.280292172259239,0.45750709954690955,0.09666501189399403,0.6473080492258801,92.63730873478774,0.6432432432432432,0.3162162162162162,2.6432432432432433,5.354054054054054
2023-2025,vulnerable + edge z>=1,39,39,20,17,2,0.5405405405405406,0.38383779524767364,0.6896167217154228,0.4230769230769231,0.5,16,23,0,0.41025641025641024,-3.282051282051282,-0.038729132539645224,0.08580864620697083,0.169761412813766,-2.9968521595611906,6.628018294430867,0.4120802563224845,0.08347203052112609,0.6124240324243703,84.69613546261418,0.6923076923076923,0.2564102564102564,3.2564102564102564,6.410256410256411
2023-2025,resilient + edge z>=1,64,64,26,35,3,0.4262295081967213,0.3101502855796743,0.5510499315648748,-1.203125,-1.5,27,37,0,0.421875,-2.59375,-0.00012823791582484284,0.08394847621757798,0.18778339566108254,-0.3753900738810209,6.847439789144486,0.43459862585997505,0.0906170554931641,0.639158294835013,89.41157333106554,0.6875,0.421875,3.25,7.328125
2023-2025,vulnerable + neutral/favorable,279,257,141,132,6,0.5164835164835165,0.45738701726491177,0.5751225477715568,0.6899641577060932,0.5,148,131,0,0.5304659498207885,1.2508960573476702,0.10300155476534376,0.06378472696125799,0.12613123642343843,2.248503329834021,7.511004472179171,0.46916467150403335,0.10150529936373014,0.657215053298027,95.08145736720795,0.6487455197132617,0.3046594982078853,2.4767025089605736,4.953405017921147
