season,week,game_id,kickoff_utc,team,opponent,defense_prior_games,offense_prior_games,defense_prior_hit_rate,offense_prior_hit_allowed_rate,historical_pass_rush_edge_z,edge_prior_percentile
2024,9,2024_09_CHI_ARI,2024-11-03T21:05:00.000Z,chi,ari,8,8,0.1095890410958904,0.14102564102564102,-0.9210156347653706,0.18494271685761046
2024,9,2024_09_JAX_PHI,2024-11-03T21:05:00.000Z,jax,phi,8,8,0.13183279742765272,0.12413793103448276,-0.7231774326131443,0.23404255319148937
2024,9,2024_09_JAX_PHI,2024-11-03T21:05:00.000Z,phi,jax,8,8,0.10465116279069768,0.1407942238267148,-1.0425574646816183,0.14566284779050737
2024,9,2024_09_DET_GB,2024-11-03T21:25:00.000Z,det,gb,8,8,0.14331210191082802,0.16538461538461538,0.32459202495505657,0.6378466557911908
2024,9,2024_09_DET_GB,2024-11-03T21:25:00.000Z,gb,det,8,8,0.17054263565891473,0.11743772241992882,0.05095703126625201,0.5367047308319739
2024,9,2024_09_LA_SEA,2024-11-03T21:25:00.000Z,lar,sea,8,8,0.16556291390728478,0.16333333333333333,0.8181003009377775,0.8181076672104405
2024,9,2024_09_LA_SEA,2024-11-03T21:25:00.000Z,sea,lar,8,8,0.1323529411764706,0.14666666666666667,-0.29951916572286674,0.3792822185970636
2024,9,2024_09_IND_MIN,2024-11-04T01:20:00.000Z,ind,min,8,8,0.16348773841961853,0.1267605633802817,0.07949108332375196,0.5479674796747968
2024,9,2024_09_IND_MIN,2024-11-04T01:20:00.000Z,min,ind,8,8,0.14285714285714285,0.17006802721088435,0.39896833631092016,0.6723577235772358
2024,9,2024_09_TB_KC,2024-11-05T01:15:00.000Z,kc,tb,8,8,0.13352272727272727,0.1568627450980392,-0.06624982531566505,0.48133116883116883
2024,9,2024_09_TB_KC,2024-11-05T01:15:00.000Z,tb,kc,8,8,0.16909620991253643,0.08011869436201781,-0.6831143467687055,0.24431818181818182
2024,10,2024_10_CIN_BAL,2024-11-08T01:15:00.000Z,bal,cin,8,8,0.14545454545454545,0.10505836575875487,-0.7710072468253463,0.22447325769854132
2024,10,2024_10_CIN_BAL,2024-11-08T01:15:00.000Z,cin,bal,8,8,0.15567282321899736,0.15064102564102563,0.3512982801070245,0.6474878444084279
2024,10,2024_10_NYG_CAR,2024-11-10T14:30:00.000Z,car,nyg,8,8,0.20962199312714777,0.11036789297658862,0.8837833235661384,0.8325242718446602
2024,10,2024_10_NYG_CAR,2024-11-10T14:30:00.000Z,nyg,car,8,8,0.08333333333333333,0.16666666666666666,-1.0824214558846428,0.13673139158576053
