window,signal_form,outcome,model,term,n,games,coefficient,se,ci_low,ci_high,p_normal,clustered_by_game
2024-2025 heldout,F adjusted + QB + rush,team_sacks,adjusted_protection_z+qb_vulnerability_z+pass_rush_z,intercept,969,511,2.38037154733,0.0537239415173,2.27507262196,2.4856704727,0,True
2024-2025 heldout,F adjusted + QB + rush,team_sacks,adjusted_protection_z+qb_vulnerability_z+pass_rush_z,adjusted_protection_z,969,511,0.420771214098,0.0581535361825,0.30679028318,0.534752145015,4.63740562275e-13,True
2024-2025 heldout,F adjusted + QB + rush,team_sacks,adjusted_protection_z+qb_vulnerability_z+pass_rush_z,qb_vulnerability_z,969,511,0.50455546263,0.157207185747,0.196429378566,0.812681546694,0.00132968988838,True
2024-2025 heldout,F adjusted + QB + rush,team_sacks,adjusted_protection_z+qb_vulnerability_z+pass_rush_z,pass_rush_z,969,511,0.093682360203,0.0592154818136,-0.0223799841516,0.209744704558,0.113636201427,True
2022-2023 exploratory,A raw protection,team_pass_epa_db,raw_protection_z,intercept,632,356,0.0359430696987,0.0109537681144,0.0144736841944,0.057412455203,0.00103314044092,True
2022-2023 exploratory,A raw protection,team_pass_epa_db,raw_protection_z,raw_protection_z,632,356,-0.0475353915095,0.0109707158739,-0.0690379946223,-0.0260327883968,1.47135004218e-05,True
2024-2025 heldout,A raw protection,team_pass_epa_db,raw_protection_z,intercept,969,511,0.0843468829697,0.00942910892797,0.0658658294709,0.102827936469,3.70700484619e-19,True
2024-2025 heldout,A raw protection,team_pass_epa_db,raw_protection_z,raw_protection_z,969,511,-0.0506763040115,0.0101469699509,-0.0705643651152,-0.0307882429078,5.9070898718e-07,True
2022-2023 exploratory,B opponent adjusted,team_pass_epa_db,adjusted_protection_z,intercept,632,356,0.0358499418789,0.0109632008859,0.0143620681425,0.0573378156153,0.00107537948605,True
2022-2023 exploratory,B opponent adjusted,team_pass_epa_db,adjusted_protection_z,adjusted_protection_z,632,356,-0.0462683235286,0.011084828182,-0.0679945867653,-0.0245420602918,2.99268028231e-05,True
2024-2025 heldout,B opponent adjusted,team_pass_epa_db,adjusted_protection_z,intercept,969,511,0.0843829257379,0.00942716334848,0.0659056855749,0.102860165901,3.52145509672e-19,True
2024-2025 heldout,B opponent adjusted,team_pass_epa_db,adjusted_protection_z,adjusted_protection_z,969,511,-0.0493553784086,0.0102119254651,-0.0693707523202,-0.0293400044969,1.34415187239e-06,True
2022-2023 exploratory,C QB only,team_pass_epa_db,qb_vulnerability_z,intercept,632,356,0.0389447226663,0.0109706653615,0.0174422185578,0.0604472267749,0.00038538315445,True
2022-2023 exploratory,C QB only,team_pass_epa_db,qb_vulnerability_z,qb_vulnerability_z,632,356,-0.0660319617732,0.0251810990243,-0.115386915861,-0.0166770076855,0.00873429322828,True
2024-2025 heldout,C QB only,team_pass_epa_db,qb_vulnerability_z,intercept,969,511,0.0861316076621,0.00949671635007,0.0675180436159,0.104745171708,1.19432910176e-19,True
2024-2025 heldout,C QB only,team_pass_epa_db,qb_vulnerability_z,qb_vulnerability_z,969,511,-0.0206894359319,0.0283688086829,-0.0762923009505,0.0349134290866,0.465816797775,True
2022-2023 exploratory,D adjusted + QB,team_pass_epa_db,adjusted_protection_z+qb_vulnerability_z,intercept,632,356,0.0371646923213,0.0109421156081,0.0157181457294,0.0586112389132,0.000682581920947,True
2022-2023 exploratory,D adjusted + QB,team_pass_epa_db,adjusted_protection_z+qb_vulnerability_z,adjusted_protection_z,632,356,-0.0489977236912,0.0111444982318,-0.0708409402256,-0.0271545071568,1.09967766324e-05,True
2022-2023 exploratory,D adjusted + QB,team_pass_epa_db,adjusted_protection_z+qb_vulnerability_z,qb_vulnerability_z,632,356,-0.0742722421716,0.0257711574662,-0.124783710805,-0.0237607735379,0.00395171103545,True
