window,group,n,games,mean_team_total_margin,median_team_total_margin,n_team_total_margin,below_implied_n,below_implied_rate,below_implied_ci_low,below_implied_ci_high,below_implied_3_n,below_implied_3_rate,below_implied_3_ci_low,below_implied_3_ci_high,below_implied_7_n,below_implied_7_rate,below_implied_7_ci_low,below_implied_7_ci_high
2022-2025 full,top20_prior,394,354,0.305203045685,-0.625,394,205,0.520304568528,0.471015903709,0.569201107282,150,0.380710659898,0.334134686764,0.429590373662,68,0.172588832487,0.138482326443,0.213018371323
2022-2025 full,top10_prior,197,188,0.343908629442,-0.25,197,99,0.502538071066,0.433339274632,0.571639773533,72,0.365482233503,0.301404002682,0.434706444556,37,0.187817258883,0.139443309893,0.248133765773
2022-2025 full,z_ge_0.5,611,516,0.2205400982,-1,611,325,0.531914893617,0.492273071819,0.57115789967,248,0.40589198036,0.367659380464,0.445300575402,124,0.20294599018,0.172956564373,0.236647470227
2022-2025 full,z_ge_1.0,304,279,0.484375,0.25,304,149,0.490131578947,0.43441042561,0.546099031202,112,0.368421052632,0.316151722494,0.423974368326,59,0.194078947368,0.153551724816,0.242241436342
2022-2025 full,z_ge_1.5,147,142,0.5,-0.25,147,74,0.503401360544,0.423523403048,0.583106067867,53,0.360544217687,0.287386897646,0.440804794831,27,0.183673469388,0.129412056544,0.254047148344
2022-2025 full,z_lt_-0.5,633,549,0.640600315956,0.5,633,295,0.466034755134,0.427494962526,0.504984322747,226,0.357030015798,0.320670023088,0.395114875386,129,0.203791469194,0.174241531194,0.236915026418
2022-2025 full,z_-0.5_to_0,414,371,0.859299516908,0.5,414,191,0.461352657005,0.413907635096,0.509508319658,149,0.359903381643,0.315151346764,0.40723148922,85,0.205314009662,0.169197806889,0.246848848112
2022-2025 full,z_0_to_0.5,388,346,-0.0786082474227,-0.5,388,202,0.520618556701,0.470950633535,0.569882192791,151,0.389175257732,0.341973504668,0.438550053831,91,0.234536082474,0.195104551041,0.279172810015
2022-2025 full,z_0.5_to_1,307,276,-0.0407166123779,-1.5,307,176,0.57328990228,0.517392195559,0.627376072266,136,0.442996742671,0.388474289936,0.498928168422,65,0.211726384365,0.169733172663,0.260844973892
2022-2025 full,z_1_to_1.5,157,151,0.46974522293,0.5,157,75,0.477707006369,0.401041626479,0.555437294397,59,0.375796178344,0.303853175949,0.453672240361,32,0.203821656051,0.148238217256,0.2735531601
